Date;Solar;
1.1.-10.1.2016;98.510000;
11.1.-17.1.2016;100.185714;
18.1.-24.1.2016;97.528571;
25.1.-31.1.2016;105.071429;
1.2.-7.2.2016;109.885714;
8.2.-14.2.2016;109.628571;
15.2.-21.2.2016;97.085714;
22.2.-28.2.2016;89.157143;
29.2.-6.3.2016;95.100000;
7.3.-13.3.2016;93.585714;
14.3.-20.3.2016;90.185714;
21.3.-27.3.2016;86.457143;
28.3.-3.4.2016;83.700000;
4.4.-10.4.2016;94.614286;
11.4.-17.4.2016;111.400000;
18.4.-24.4.2016;83.814286;
25.4.-1.5.2016;91.728571;
2.5.-8.5.2016;89.942857;
9.5.-15.5.2016;97.142857;
16.5.-22.5.2016;102.542857;
23.5.-29.5.2016;93.571429;
30.5.-5.6.2016;86.200000;
6.6.-12.6.2016;86.785714;
13.6.-19.6.2016;89.857143;
20.6.-26.6.2016;81.128571;
27.6.-3.7.2016;75.342857;
4.7.-10.7.2016;85.700000;
11.7.-17.7.2016;102.228571;
18.7.-24.7.2016;99.500000;
25.7.-31.7.2016;73.928571;
1.8.-7.8.2016;81.371429;
8.8.-14.8.2016;95.471429;
15.8.-21.8.2016;84.128571;
22.8.-28.8.2016;83.028571;
29.8.-4.9.2016;97.714286;
5.9.-11.9.2016;93.371429;
12.9.-18.9.2016;85.042857;
19.9.-25.9.2016;85.271429;
26.9.-2.10.2016;83.614286;
3.10.-9.10.2016;99.142857;
10.10.-16.10.2016;92.785714;
17.10.-23.10.2016;76.000000;
24.10.-30.10.2016;76.800000;
31.10.-6.11.2016;75.100000;
7.11.-13.11.2016;76.742857;
14.11.-20.11.2016;75.957143;
21.11.-27.11.2016;77.071429;
28.11.-4.12.2016;81.942857;
5.12.-11.12.2016;73.585714;
12.12.-18.12.2016;69.714286;
19.12.-25.12.2016;71.442857;
26.12.-31.12.2016;71.133333;
