Date;Temperature;
1.1.-7.1.2018;48336.291667;
8.1.-14.1.2018;93847.607143;
15.1.-21.1.2018;67878.255953;
22.1.-28.1.2018;79196.208333;
29.1.-4.2.2018;41854.571429;
5.2.-11.2.2018;49660.738095;
12.2.-18.2.2018;62186.815476;
19.2.-25.2.2018;96124.886905;
26.2.-4.3.2018;73606.785714;
5.3.-11.3.2018;44624.660714;
12.3.-18.3.2018;90847.101191;
19.3.-25.3.2018;86919.958333;
26.3.-1.4.2018;79306.333333;
2.4.-8.4.2018;44200.452381;
9.4.-15.4.2018;102701.541667;
16.4.-22.4.2018;84110.297619;
23.4.-29.4.2018;43553.196429;
30.4.-6.5.2018;95648.357143;
7.5.-13.5.2018;127008.505952;
14.5.-20.5.2018;46707.976190;
21.5.-27.5.2018;53910.809524;
28.5.-3.6.2018;121944.660714;
4.6.-10.6.2018;43048.833333;
11.6.-17.6.2018;23953.315476;
18.6.-24.6.2018;99399.416667;
25.6.-1.7.2018;75931.107143;
2.7.-8.7.2018;61345.708333;
9.7.-15.7.2018;57501.654762;
16.7.-22.7.2018;80930.803572;
23.7.-29.7.2018;81890.708333;
30.7.-5.8.2018;39895.672619;
6.8.-12.8.2018;48072.958333;
13.8.-19.8.2018;83848.738095;
20.8.-26.8.2018;98119.744048;
27.8.-2.9.2018;75331.285714;
3.9.-9.9.2018;62969.023810;
10.9.-16.9.2018;116896.595238;
17.9.-23.9.2018;88008.017857;
24.9.-30.9.2018;63286.440476;
1.10.-7.10.2018;72860.095238;
8.10.-14.10.2018;115809.226190;
15.10.-21.10.2018;67362.684524;
22.10.-28.10.2018;44890.125000;
29.10.-4.11.2018;37399.857143;
5.11.-11.11.2018;125551.351190;
12.11.-18.11.2018;61821.380952;
19.11.-25.11.2018;50398.452381;
26.11.-2.12.2018;51727.321429;
3.12.-9.12.2018;113424.940476;
10.12.-16.12.2018;60769.976190;
17.12.-23.12.2018;90868.601191;
24.12.-30.12.2018;86925.767857;
